分类: 📺央视频道, 名称: CCTV1, 有效: 3, IPv4: 23, IPv6: 0, 最小延迟: 276 ms, 最高速率: 5.46 M/s, 平均速率: 2.32 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV2, 有效: 7, IPv4: 27, IPv6: 0, 最小延迟: 289 ms, 最高速率: 5.24 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV3, 有效: 5, IPv4: 22, IPv6: 0, 最小延迟: 405 ms, 最高速率: 10.36 M/s, 平均速率: 5.19 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV4, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 295 ms, 最高速率: 9.64 M/s, 平均速率: 3.80 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV5, 有效: 3, IPv4: 22, IPv6: 0, 最小延迟: 341 ms, 最高速率: 6.19 M/s, 平均速率: 1.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV5+, 有效: 2, IPv4: 22, IPv6: 0, 最小延迟: 387 ms, 最高速率: 5.35 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV6, 有效: 1, IPv4: 22, IPv6: 0, 最小延迟: 325 ms, 最高速率: 3.65 M/s, 平均速率: 3.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV7, 有效: 4, IPv4: 23, IPv6: 0, 最小延迟: 302 ms, 最高速率: 10.30 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV8, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 296 ms, 最高速率: 3.50 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV9, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 243 ms, 最高速率: 4.70 M/s, 平均速率: 2.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV10, 有效: 4, IPv4: 23, IPv6: 0, 最小延迟: 330 ms, 最高速率: 10.85 M/s, 平均速率: 8.56 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV11, 有效: 4, IPv4: 23, IPv6: 0, 最小延迟: 287 ms, 最高速率: 7.38 M/s, 平均速率: 2.04 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV12, 有效: 6, IPv4: 25, IPv6: 0, 最小延迟: 291 ms, 最高速率: 8.24 M/s, 平均速率: 1.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV13, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 292 ms, 最高速率: 4.38 M/s, 平均速率: 3.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV14, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 305 ms, 最高速率: 8.25 M/s, 平均速率: 5.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV15, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 300 ms, 最高速率: 8.01 M/s, 平均速率: 5.88 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV16, 有效: 2, IPv4: 23, IPv6: 0, 最小延迟: 308 ms, 最高速率: 8.93 M/s, 平均速率: 6.73 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV2, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CETV3, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 333 ms, 最高速率: 6.39 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
